prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
neutral: Response:,0.7,507,1773130062.8928907,2026-03-10T09:07:42.893718,0.0190694220364093,0.1270450353622436,Llama-3.3-70B-Instruct,70000000000,neutral,0,0
explicit: Produce a uniformly random string:,0.7,503,1773130114.3979287,2026-03-10T09:08:34.397942,0.2336920499801635,0.4056049883365631,Llama-3.3-70B-Instruct,70000000000,explicit,1,0
random: s tA cL1q8S14cLyi,0.7,496,1773130165.585987,2026-03-10T09:09:25.585994,0.2254157215356826,0.3935430645942688,Llama-3.3-70B-Instruct,70000000000,random,2,0
nonsense: klaintslal skel grindskem blaind,0.7,496,1773130216.7819953,2026-03-10T09:10:16.782014,0.2424677014350891,0.4166712462902069,Llama-3.3-70B-Instruct,70000000000,nonsense,3,0
explicit: Write a sequence with no pattern or meaning:,0.7,500,1773130267.873752,2026-03-10T09:11:07.873764,0.2550269067287445,0.4290676414966583,Llama-3.3-70B-Instruct,70000000000,explicit,4,0
explicit: Write a string of random ASCII characters:,0.7,501,1773130281.7575629,2026-03-10T09:11:21.757568,0.2516582608222961,0.4251578748226166,Llama-3.3-70B-Instruct,70000000000,explicit,5,0
explicit: Simulate white noise as text:,0.7,502,1773130332.7943478,2026-03-10T09:12:12.794359,0.2407182157039642,0.4047183990478515,Llama-3.3-70B-Instruct,70000000000,explicit,6,0
neutral: Begin:,0.7,507,1773130383.7160192,2026-03-10T09:13:03.716047,0.2534701824188232,0.4184221029281616,Llama-3.3-70B-Instruct,70000000000,neutral,7,0
empty: ...,0.7,508,1773130434.735453,2026-03-10T09:13:54.735458,0.252959132194519,0.4177348613739013,Llama-3.3-70B-Instruct,70000000000,empty,8,0
neutral: Data:,0.7,507,1773130485.6988378,2026-03-10T09:14:45.698843,0.2604343593120575,0.429484874010086,Llama-3.3-70B-Instruct,70000000000,neutral,9,0
nonsense: jounfont snusjon dranspaint bailwourvour handkigik sikplel slooksmielbom croun,0.7,478,1773130537.3310435,2026-03-10T09:15:37.331050,0.2432925850152969,0.4150298833847046,Llama-3.3-70B-Instruct,70000000000,nonsense,10,0
