prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
neutral: Response:,0.7,508,1773389190.7460234,2026-03-13T09:06:30.746040,0.2309876382350921,0.4023684561252594,Qwen2.5-32B-Instruct,32000000000,neutral,0,0
explicit: Produce a uniformly random string:,0.7,504,1773389236.9184675,2026-03-13T09:07:16.918484,0.2392198145389557,0.4141316711902618,Qwen2.5-32B-Instruct,32000000000,explicit,1,0
random: s tA cL1q8S14cLyi,0.7,496,1773389283.3797538,2026-03-13T09:08:03.379769,0.2408930957317352,0.4175048768520355,Qwen2.5-32B-Instruct,32000000000,random,2,0
nonsense: klaintslal skel grindskem blaind,0.7,497,1773389330.496145,2026-03-13T09:08:50.496160,0.2367107719182968,0.4052978456020355,Qwen2.5-32B-Instruct,32000000000,nonsense,3,0
explicit: Write a sequence with no pattern or meaning:,0.7,501,1773389376.4798086,2026-03-13T09:09:36.479821,0.2500583827495575,0.4195896685123443,Qwen2.5-32B-Instruct,32000000000,explicit,4,0
explicit: Write a string of random ASCII characters:,0.7,502,1773389412.8215685,2026-03-13T09:10:12.821583,0.2485566437244415,0.4169073700904846,Qwen2.5-32B-Instruct,32000000000,explicit,5,0
explicit: Simulate white noise as text:,0.7,503,1773389458.872474,2026-03-13T09:10:58.872490,0.2451646625995636,0.4088523983955383,Qwen2.5-32B-Instruct,32000000000,explicit,6,0
neutral: Begin:,0.7,508,1773389473.372127,2026-03-13T09:11:13.372141,0.2555992901325226,0.4184362888336181,Qwen2.5-32B-Instruct,32000000000,neutral,7,0
empty: ...,0.7,509,1773389519.123366,2026-03-13T09:11:59.123376,0.2458779960870742,0.4051227569580078,Qwen2.5-32B-Instruct,32000000000,empty,8,0
neutral: Data:,0.7,508,1773389564.8624392,2026-03-13T09:12:44.862444,0.2623975872993469,0.4302647411823272,Qwen2.5-32B-Instruct,32000000000,neutral,9,0
nonsense: jounfont snusjon dranspaint bailwourvour handkigik sikplel slooksmielbom croun,0.7,479,1773389610.9972184,2026-03-13T09:13:30.997231,0.244623914361,0.4126569330692291,Qwen2.5-32B-Instruct,32000000000,nonsense,10,0
explicit: Generate uniformly distributed random text:,0.7,504,1773389657.173745,2026-03-13T09:14:17.173756,0.2561572790145874,0.3950099647045135,Qwen2.5-32B-Instruct,32000000000,explicit,11,0
empty: ...,0.7,509,1773389702.6314034,2026-03-13T09:15:02.631415,0.2922649681568146,0.4404046237468719,Qwen2.5-32B-Instruct,32000000000,empty,12,0
neutral: The,0.7,509,1773389748.3496192,2026-03-13T09:15:48.349630,0.2671366035938263,0.4037499129772186,Qwen2.5-32B-Instruct,32000000000,neutral,13,0
explicit: Output random letters and numbers:,0.7,504,1773389794.4954257,2026-03-13T09:16:34.495445,0.2767247557640075,0.4249460101127624,Qwen2.5-32B-Instruct,32000000000,explicit,14,0
random: vgZ2HtlVvpb36 pCAyIK Wq3ABKy1x0sdLHE5FV6kb8rPYBX2Gjmhg,0.7,471,1773389840.692579,2026-03-13T09:17:20.692592,0.2169534116983413,0.3673360049724579,Qwen2.5-32B-Instruct,32000000000,random,15,0
empty: —,0.7,509,1773389886.6089976,2026-03-13T09:18:06.609009,0.2892777025699615,0.4218195974826813,Qwen2.5-32B-Instruct,32000000000,empty,16,0
neutral: The,0.7,509,1773389932.7428305,2026-03-13T09:18:52.742839,0.304625928401947,0.4418226778507232,Qwen2.5-32B-Instruct,32000000000,neutral,17,0
"empty: 
",0.7,509,1773389978.6545556,2026-03-13T09:19:38.654567,0.2881779372692108,0.4236234426498413,Qwen2.5-32B-Instruct,32000000000,empty,18,0
