prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
"code: Explain what this code does:
def function_92(x): return x * 2",1.3,128,1773652006.5281603,2026-03-16T10:06:46.528163,0.4686054289340973,0.1343475878238678,mamba2-2.7b,2700000000,code,0,0
fiction: Which celestial object listed below has the greatest density? (Answer: D),1.3,128,1773652012.5029407,2026-03-16T10:06:52.502943,0.4509095251560211,0.18974855542182922,mamba2-2.7b,2700000000,fiction,1,0
"wiki: Generally prohibited in the West at large, school corporal punishment is not unusual in Alabama, with 27,260 public school students paddled at least one time, according to government data for the 2011–2012 school year.",1.3,128,1773652018.5390155,2026-03-16T10:06:58.539018,0.363096684217453,0.16760413348674774,mamba2-2.7b,2700000000,wiki,2,0
"news: SEE: Virtual and augmented reality policy (Tech Pro Research) The XR1 features an ARM-based multi-core CPU, a vector processor, a GPU, and a dedicated AI engine for on-board processing.",1.3,128,1773652024.5336955,2026-03-16T10:07:04.533698,0.3864187002182007,0.15113326907157898,mamba2-2.7b,2700000000,news,3,0
"wiki: Jordan-Hare Stadium is the home field of the Auburn football team and seats up to 87,451.",1.3,128,1773652030.5041065,2026-03-16T10:07:10.504109,0.5274494886398315,0.2414873242378235,mamba2-2.7b,2700000000,wiki,4,0
"wiki: The Goodyear Tire and Rubber Company operates a large plant in Gadsden which employs about 1,400 people.",1.3,74,1773652033.9506345,2026-03-16T10:07:13.950637,0.714116632938385,0.17038285732269287,mamba2-2.7b,2700000000,wiki,5,0
"wiki: In Latin America, Argentina was a stronghold for anarcho-syndicalism, where it became the most prominent left-wing ideology.",0.7,128,1773652039.976677,2026-03-16T10:07:19.976679,0.7756436467170715,0.16283519566059113,mamba2-2.7b,2700000000,wiki,6,0
"wiki: Ritualistic behavior: Unvarying pattern of daily activities, such as an unchanging menu or a dressing ritual.",0.7,128,1773652045.989364,2026-03-16T10:07:25.989366,0.7590215802192688,0.20013150572776794,mamba2-2.7b,2700000000,wiki,7,0
"wiki: Anarchists were treated similarly in the Second International, being ultimately expelled in 1896.",1.0,128,1773652051.9715633,2026-03-16T10:07:31.971566,0.7204011678695679,0.17266064882278442,mamba2-2.7b,2700000000,wiki,8,0
"news: 34 total views, 34 views today Share Us",1.0,128,1773652058.0002987,2026-03-16T10:07:38.000301,0.6449048519134521,0.1908123940229416,mamba2-2.7b,2700000000,news,9,0
"wiki: The Alabama Fever land rush was underway when the state was admitted to the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation.",0.7,128,1773652064.0196555,2026-03-16T10:07:44.019658,0.8917157649993896,0.15482452511787415,mamba2-2.7b,2700000000,wiki,10,0
fiction: How long does it take for Earth to rotate on its axis seven times? (Answer: B),1.0,128,1773652070.0535243,2026-03-16T10:07:50.053526,0.7448593974113464,0.13940218091011047,mamba2-2.7b,2700000000,fiction,11,0
fiction: A student accidentally drops a test tube that breaks when it hits the floor. Which method is the best way to retrieve the broken glass? (Answer: C),0.7,128,1773652076.1475847,2026-03-16T10:07:56.147587,0.8124009370803833,0.18389944732189178,mamba2-2.7b,2700000000,fiction,12,0
fiction: Which of these would most likely improve the air quality in large Texas cities? (Answer: A),1.0,128,1773652082.1366162,2026-03-16T10:08:02.136618,0.7321673631668091,0.17363876104354858,mamba2-2.7b,2700000000,fiction,13,0
"code: Explain what this code does:
def function_86(x): return x * 2",0.7,128,1773652088.2784882,2026-03-16T10:08:08.278491,0.9652203917503357,0.06894484162330627,mamba2-2.7b,2700000000,code,14,0
wiki: How autism occurs is not well understood.,1.0,128,1773652094.3877745,2026-03-16T10:08:14.387777,0.6896014213562012,0.15340383350849152,mamba2-2.7b,2700000000,wiki,15,0
fiction: A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer? (Answer: C),0.7,128,1773652100.383427,2026-03-16T10:08:20.383429,0.8566453456878662,0.1647365838289261,mamba2-2.7b,2700000000,fiction,16,0
fiction: Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate? (Answer: A),1.3,128,1773652106.5364492,2026-03-16T10:08:26.536452,0.3633238673210144,0.16783937811851501,mamba2-2.7b,2700000000,fiction,17,0
news: The company is one of dozens of others honoring Robbins this year; last week we covered Cincinnati Ballet and New York Theatre Ballet.,0.7,128,1773652112.57732,2026-03-16T10:08:32.577323,0.7379167079925537,0.18369118869304657,mamba2-2.7b,2700000000,news,18,0
"wiki: Nonetheless, his ideas formed the inspiration for a series of modern schools around the world.",0.7,48,1773652114.8003683,2026-03-16T10:08:34.800370,0.7291366457939148,0.17164456844329834,mamba2-2.7b,2700000000,wiki,19,0
wiki: Parents often notice signs during the first three years of their child's life.,0.7,128,1773652120.9292915,2026-03-16T10:08:40.929295,0.7982075810432434,0.15630494058132172,mamba2-2.7b,2700000000,wiki,20,1
news: Subscribe Also see,1.3,128,1773652126.9862719,2026-03-16T10:08:46.986275,0.3996654152870178,0.15585440397262573,mamba2-2.7b,2700000000,news,21,1
wiki: Automakers accounted for approximately a third of the industrial expansion in the state in 2012.,0.7,128,1773652133.0834503,2026-03-16T10:08:53.083453,0.7901763319969177,0.14796695113182068,mamba2-2.7b,2700000000,wiki,22,1
"wiki: About three-fifths of the land area is part of the Gulf Coastal Plain, a gentle plain with a general descent towards the Mississippi River and the Gulf of Mexico.",0.7,128,1773652139.1437163,2026-03-16T10:08:59.143719,0.7497309446334839,0.15713082253932953,mamba2-2.7b,2700000000,wiki,23,1
"wiki: Jackson, Harvey H. Inside Alabama: A Personal History of My State (2004).",1.0,13,1773652139.7470918,2026-03-16T10:08:59.747094,0.7132985591888428,0.1440923511981964,mamba2-2.7b,2700000000,wiki,24,1
"news: Additionally, compliance and security whitepapers will also help prepare would-be test takers.",0.7,128,1773652145.7607348,2026-03-16T10:09:05.760737,0.7574685215950012,0.16338521242141724,mamba2-2.7b,2700000000,news,25,1
"code: Explain what this code does:
def function_50(x): return x * 2",1.3,68,1773652148.9605978,2026-03-16T10:09:08.960600,0.7228370904922485,0.1741296947002411,mamba2-2.7b,2700000000,code,26,1
