prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain
neutral: Response:,0.7,507,1772834907.1474447,2026-03-06T23:08:27.147464,0.1422813981771469,0.34177365899086,gemma-2-27b-it,27000000000,neutral
explicit: Produce a uniformly random string:,0.7,503,1772834985.1539965,2026-03-06T23:09:45.154013,0.24895329773426056,0.42898792028427124,gemma-2-27b-it,27000000000,explicit
random: s tA cL1q8S14cLyi,0.7,496,1772835031.1371102,2026-03-06T23:10:31.137126,0.2212107926607132,0.39667797088623047,gemma-2-27b-it,27000000000,random
nonsense: klaintslal skel grindskem blaind,0.7,500,1772835047.0338073,2026-03-06T23:10:47.033819,0.23754101991653442,0.4147377014160156,gemma-2-27b-it,27000000000,nonsense
explicit: Write a sequence with no pattern or meaning:,0.7,500,1772835074.5169451,2026-03-06T23:11:14.516974,0.23696663975715637,0.4144691824913025,gemma-2-27b-it,27000000000,explicit
explicit: Write a string of random ASCII characters:,0.7,501,1772835151.4950008,2026-03-06T23:12:31.495017,0.24641701579093933,0.42371508479118347,gemma-2-27b-it,27000000000,explicit
explicit: Simulate white noise as text:,0.7,502,1772835192.8929923,2026-03-06T23:13:12.893008,0.2397908866405487,0.4119578003883362,gemma-2-27b-it,27000000000,explicit
neutral: Begin:,0.7,507,1772835252.721226,2026-03-06T23:14:12.721253,0.24580734968185425,0.4152402877807617,gemma-2-27b-it,27000000000,neutral
empty: ...,0.7,508,1772835329.687941,2026-03-06T23:15:29.687956,0.253187894821167,0.4261068105697632,gemma-2-27b-it,27000000000,empty
neutral: Data:,0.7,507,1772835406.8061159,2026-03-06T23:16:46.806121,0.24724742770195007,0.4172914922237396,gemma-2-27b-it,27000000000,neutral
nonsense: jounfont snusjon dranspaint bailwourvour handkigik sikplel slooksmielbom croun,0.7,483,1772835424.3597991,2026-03-06T23:17:04.359816,0.2152436375617981,0.40003395080566406,gemma-2-27b-it,27000000000,nonsense
explicit: Generate uniformly distributed random text:,0.7,503,1772835501.9931307,2026-03-06T23:18:21.993148,0.2531173825263977,0.4316508173942566,gemma-2-27b-it,27000000000,explicit
empty: ...,0.7,508,1772835579.38212,2026-03-06T23:19:39.382127,0.2502700686454773,0.421721488237381,gemma-2-27b-it,27000000000,empty
neutral: The,0.7,508,1772835656.4658942,2026-03-06T23:20:56.465904,0.25144580006599426,0.4221874177455902,gemma-2-27b-it,27000000000,neutral
explicit: Output random letters and numbers:,0.7,503,1772835733.9371881,2026-03-06T23:22:13.937203,0.2518386244773865,0.42947083711624146,gemma-2-27b-it,27000000000,explicit
random: vgZ2HtlVvpb36 pCAyIK Wq3ABKy1x0sdLHE5FV6kb8rPYBX2Gjmhg,0.7,473,1772835761.25197,2026-03-06T23:22:41.251995,0.19615773856639862,0.3849415183067322,gemma-2-27b-it,27000000000,random
empty: —,0.7,508,1772835838.9931798,2026-03-06T23:23:58.993195,0.2491452544927597,0.4195285439491272,gemma-2-27b-it,27000000000,empty
neutral: The,0.7,508,1772835899.711697,2026-03-06T23:24:59.711724,0.24920572340488434,0.4189048409461975,gemma-2-27b-it,27000000000,neutral
"empty: 
",0.7,507,1772835977.121186,2026-03-06T23:26:17.121205,0.2545066773891449,0.42841142416000366,gemma-2-27b-it,27000000000,empty
random: YfX gyL4YMK7v2Lg s75l oxrY0P5dw6z6lGPuplo5Uk,0.7,478,1772836002.700847,2026-03-06T23:26:42.700858,0.20613859593868256,0.3947959244251251,gemma-2-27b-it,27000000000,random
random: LMuwU CpzrE dUV7qliNY900jqOj57 Sqxq3 hp tMvuP,0.7,482,1772836080.0020678,2026-03-06T23:28:00.002082,0.2503913342952728,0.42011284828186035,gemma-2-27b-it,27000000000,random
nonsense: front faindkon zontswitska triendpom grintgiet,0.7,493,1772836100.2552607,2026-03-06T23:28:20.255280,0.2668418288230896,0.4292154014110565,gemma-2-27b-it,27000000000,nonsense
random: jWlZGwEZlcAuXZKtpM 3NqTmV z 5X8I2l2Vx32lf R7Ct kL73k9MtqM,0.7,467,1772836177.517466,2026-03-06T23:29:37.517481,0.2615383267402649,0.42994338274002075,gemma-2-27b-it,27000000000,random
nonsense: sminklouttwir jeangtik wounvoor zool balming sloussang,0.7,491,1772836192.43773,2026-03-06T23:29:52.437736,0.2948025166988373,0.44461679458618164,gemma-2-27b-it,27000000000,nonsense
empty: _,0.7,508,1772836270.1851113,2026-03-06T23:31:10.185135,0.31671613454818726,0.453897088766098,gemma-2-27b-it,27000000000,empty
random: FsmgLX1FuPOyu  7 N clY 6EBTggK 8Kbn3rH,0.7,484,1772836347.7852352,2026-03-06T23:32:27.785252,0.2814868092536926,0.4352893531322479,gemma-2-27b-it,27000000000,random
explicit: Create a nonsensical random sequence:,0.7,502,1772836425.411128,2026-03-06T23:33:45.411146,0.314053475856781,0.45592400431632996,gemma-2-27b-it,27000000000,explicit
random: eI0l EV5MBMwoVezl4 d9 tyR9NPsm qAe6X oaNflQ7fn NcNAPzyK,0.7,476,1772836502.8566375,2026-03-06T23:35:02.856653,0.25612902641296387,0.41390156745910645,gemma-2-27b-it,27000000000,random
random: ZFNV8S2QT6INGDpyOpxyB9JK,0.7,493,1772836580.7884793,2026-03-06T23:36:20.788493,0.29430583119392395,0.44113412499427795,gemma-2-27b-it,27000000000,random
"explicit: Simulate a random number generator, output digits:",0.7,499,1772836658.1266253,2026-03-06T23:37:38.126640,0.3124191164970398,0.4576150178909302,gemma-2-27b-it,27000000000,explicit
