prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
"wiki_pl: wiki_pl: Ze względu na to, że dokładny pomiar liczby atomów w 1 gramie wodoru-1 jest problematyczny, za podstawę skali względnej masy atomowej przyjęto założenie, że 1 mol to taka liczba atomów, jaka znajduje się w 12 gramach izotopu węgla-12.",1.3,422,1773606609.9225671,2026-03-15T21:30:09.922600,0.2866189181804657,0.4400827884674072,Qwen2.5-32B-Instruct,32000000000,wiki_pl,0,0
wiki_zh: wiki_zh: 文學體裁  中国古典文學分为诗和文，文又分为韵文和散文，中国的抒情诗和文言文最早而比较发达。,1.3,469,1773606656.72848,2026-03-15T21:30:56.728506,0.33338239789009094,0.43982601165771484,Qwen2.5-32B-Instruct,32000000000,wiki_zh,1,0
wiki_pl: wiki_pl: O typie wiązania decyduje różnica elektroujemności atomów.,1.3,484,1773606703.1864176,2026-03-15T21:31:43.186478,0.3687143325805664,0.4640282690525055,Qwen2.5-32B-Instruct,32000000000,wiki_pl,2,0
wiki_zh: wiki_zh: 牛頓為了解決問題所做的定義，到了十九世紀才重新以小心的分析及正式的證明來處理。,1.3,476,1773606750.1889203,2026-03-15T21:32:30.188973,0.3538413345813751,0.45641034841537476,Qwen2.5-32B-Instruct,32000000000,wiki_zh,3,0
wiki_ja: wiki_ja: 文体の位相差  談話の文体（話体）は、話し手の性別・年齢・職業・場面など、位相の違いによって左右される部分が大きい。,1.3,458,1773606797.558702,2026-03-15T21:33:17.558735,0.3228648602962494,0.43960919976234436,Qwen2.5-32B-Instruct,32000000000,wiki_ja,4,0
wiki_zh: wiki_zh: 笛卡尔是割裂精神和物质的二元论者，为了厘清二者关系，他坚定认为在上帝那里，精神和物质是统一的。,1.3,469,1773606843.8562706,2026-03-15T21:34:03.856284,0.3084923028945923,0.410739004611969,Qwen2.5-32B-Instruct,32000000000,wiki_zh,5,0
wiki_pl: wiki_pl: Elektrony na orbitalach najdalszych od jądra mogą przenosić się na inne atomy bądź tworzyć orbitale wokół dwóch i więcej atomów jednocześnie.,0.7,465,1773606890.6293766,2026-03-15T21:34:50.629405,0.3388824462890625,0.451173335313797,Qwen2.5-32B-Instruct,32000000000,wiki_pl,6,0
wiki_pl: wiki_pl: W XIII wieku w alchemii pojawiła się koncepcja korpuskularyzmu.,0.7,483,1773606937.3462367,2026-03-15T21:35:37.346249,0.36614933609962463,0.46194958686828613,Qwen2.5-32B-Instruct,32000000000,wiki_pl,7,0
wiki_zh: wiki_zh: 這四種需要大致地與數量、結構、空間及變化（即算術、代數、幾何及分析）等數學上廣泛的子領域相關連著。,1.0,462,1773606983.989374,2026-03-15T21:36:23.989380,0.3279021680355072,0.4430548846721649,Qwen2.5-32B-Instruct,32000000000,wiki_zh,8,0
"wiki_pl: wiki_pl: 2 z 1878 roku, pierwszej z klawiszem Shift.",1.0,487,1773607030.5862093,2026-03-15T21:37:10.586222,0.3564929962158203,0.44916418194770813,Qwen2.5-32B-Instruct,32000000000,wiki_pl,9,0
wiki_ar: wiki_ar: استمرّ التوسّع في شقّ القنوات وحفر الآبار مع ازدهار الحضارة الإسلاميّة،,0.7,475,1773607077.4927895,2026-03-15T21:37:57.492796,0.3588227927684784,0.46328020095825195,Qwen2.5-32B-Instruct,32000000000,wiki_ar,10,0
"wiki_pl: wiki_pl: 95 spośród nich stanowią znaki drukowalne: małe i wielkie litery alfabetu łacińskiego, cyfry, znaki przestankowe oraz inne symbole.",1.0,460,1773607124.5668418,2026-03-15T21:38:44.566858,0.32542526721954346,0.4419151842594147,Qwen2.5-32B-Instruct,32000000000,wiki_pl,11,0
wiki_zh: wiki_zh: ”換言之即使數千年後，人們依舊在試著回答他所提出的問題，這也代表著人們依然為這些問題或是這些問題所延伸的更多問題而感到困惑。,0.7,462,1773607171.0785482,2026-03-15T21:39:31.078554,0.3402669429779053,0.457265168428421,Qwen2.5-32B-Instruct,32000000000,wiki_zh,12,0
wiki_ar: wiki_ar: لذلك يطفو الجليد على سطح الماء السائل،,1.0,490,1773607217.929489,2026-03-15T21:40:17.929502,0.38127025961875916,0.47127339243888855,Qwen2.5-32B-Instruct,32000000000,wiki_ar,13,0
wiki_pl: wiki_pl: Za jej autora uważa się alchemika podpisującego się Geber.,0.7,489,1773607264.3472652,2026-03-15T21:41:04.347279,0.3508028984069824,0.44291952252388,Qwen2.5-32B-Instruct,32000000000,wiki_pl,14,0
wiki_zh: wiki_zh: 在一战后，舍勒、普莱斯纳和盖伦等采用上述学说，开创了“哲学人类学”。,1.0,476,1773607310.9381304,2026-03-15T21:41:50.938144,0.3398553133010864,0.4402712881565094,Qwen2.5-32B-Instruct,32000000000,wiki_zh,15,0
wiki_ar: wiki_ar: هناك عدد من الدراسات التي ربطت بين الاستهلاك المرتفع لماء الشرب مع حدوث اضطرابات ومشاكل في الوزن.,0.7,470,1773607357.94257,2026-03-15T21:42:37.942580,0.3471842110157013,0.4543069303035736,Qwen2.5-32B-Instruct,32000000000,wiki_ar,16,0
"wiki_pl: wiki_pl: Jego wyjaśnienie przez termiczne ruchy cząsteczek wody zasugerował w 1877 roku Joseph Delsaulx, a w 1905 roku Albert Einstein przedstawił jego pełną matematyczną analizę.",1.3,443,1773607404.697468,2026-03-15T21:43:24.697481,0.3208257853984833,0.4557606875896454,Qwen2.5-32B-Instruct,32000000000,wiki_pl,17,0
wiki_pl: wiki_pl: Ich nazwy dodawane są na końcu listy argumentów w definicji funkcji.,0.7,486,1773607450.8964884,2026-03-15T21:44:10.896499,0.3680102229118347,0.46065759658813477,Qwen2.5-32B-Instruct,32000000000,wiki_pl,18,0
wiki_pl: wiki_pl: Można natomiast określić prawdopodobieństwo rozpadu w określonym czasie.,0.7,481,1773607497.771419,2026-03-15T21:44:57.771432,0.3727678954601288,0.47110459208488464,Qwen2.5-32B-Instruct,32000000000,wiki_pl,19,0
wiki_ja: wiki_ja: 台湾では先住民の異なる部族同士の会話に日本語が用いられることがあるだけでなく、宜蘭クレオールなど日本語とタイヤル語のクレオール言語も存在している。,0.7,453,1773607544.4290555,2026-03-15T21:45:44.429068,0.32036107778549194,0.44205495715141296,Qwen2.5-32B-Instruct,32000000000,wiki_ja,20,1
wiki_ja: wiki_ja: 」などと問いかけ表現を用いる。,1.3,493,1773607590.835622,2026-03-15T21:46:30.835635,0.36572444438934326,0.4526557922363281,Qwen2.5-32B-Instruct,32000000000,wiki_ja,21,1
"wiki_pl: wiki_pl: Następnie następuje akcja wykonywana na każdej linii wejścia: dla każdego pola linii zwiększana jest liczba razy, jaką to słowo (uprzednio zamienione na małe litery) wystąpiło.",0.7,444,1773607637.795049,2026-03-15T21:47:17.795055,0.3258330523967743,0.4604966640472412,Qwen2.5-32B-Instruct,32000000000,wiki_pl,22,1
