prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain
"wiki: Muslims have been increasing in Alabama, with 31 mosques built by 2011, many by African-American converts.",0.7,486,1773008660.6368117,2026-03-08T23:24:20.637456,0.24097490310668945,0.40889081358909607,Llama-3.3-70B-Instruct,70000000000,wiki
"wiki: Among these approaches, interventions either treat autistic features comprehensively, or focalize treatment on a specific area of deficit.",0.7,486,1773008710.440431,2026-03-08T23:25:10.440437,0.2210853546857834,0.3772338628768921,Llama-3.3-70B-Instruct,70000000000,wiki
"code: Explain what this code does:
def function_15(x): return x * 2",0.7,492,1773008762.2483573,2026-03-08T23:26:02.248363,0.2611488699913025,0.43052881956100464,Llama-3.3-70B-Instruct,70000000000,code
wiki: A -wide meteorite hit the area about 80 million years ago.,0.7,494,1773008813.7285814,2026-03-08T23:26:53.728588,0.2496209591627121,0.4108494222164154,Llama-3.3-70B-Instruct,70000000000,wiki
"wiki: Ritualistic behavior: Unvarying pattern of daily activities, such as an unchanging menu or a dressing ritual.",0.7,486,1773008865.2016547,2026-03-08T23:27:45.201660,0.24245621263980865,0.4112897217273712,Llama-3.3-70B-Instruct,70000000000,wiki
"code: Explain what this code does:
def function_70(x): return x * 2",0.7,492,1773008917.0295317,2026-03-08T23:28:37.029537,0.2612491846084595,0.4306153655052185,Llama-3.3-70B-Instruct,70000000000,code
fiction: Which celestial object listed below has the greatest density? (Answer: D),0.7,494,1773008968.4955146,2026-03-08T23:29:28.495521,0.2610167860984802,0.4274895489215851,Llama-3.3-70B-Instruct,70000000000,fiction
"code: Explain what this code does:
def function_58(x): return x * 2",0.7,492,1773009020.1231112,2026-03-08T23:30:20.123116,0.26084965467453003,0.43008631467819214,Llama-3.3-70B-Instruct,70000000000,code
"wiki: In 1861, the state seceded from the United States to become part of the Confederate States of America, with Montgomery acting as its first capital, and rejoined the Union in 1868.",0.7,467,1773009072.3749638,2026-03-08T23:31:12.374968,0.26010018587112427,0.42728930711746216,Llama-3.3-70B-Instruct,70000000000,wiki
"code: Explain what this code does:
def function_24(x): return x * 2",0.7,492,1773009124.006906,2026-03-08T23:32:04.006917,0.3003847599029541,0.4505164325237274,Llama-3.3-70B-Instruct,70000000000,code
